DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;AGRUPA EDAD PERSONA;CANTIDAD
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;3
ATLÁNTICO;SOLEDAD;8758000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
CALDAS;AGUADAS;17013000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADOLESCENTES;1
CALDAS;LA DORADA;17380000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADOLESCENTES;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;2
CUNDINAMARCA;ZIPAQUIRÁ;25899000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
HUILA;PITALITO;41551000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
META;ACACÍAS;50006000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
META;VILLAVICENCIO (CT);50001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
NARIÑO;PASTO (CT);52001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
NORTE DE SANTANDER;PAMPLONA;54518000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
QUINDÍO;LA TEBAIDA;63401000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
QUINDÍO;QUIMBAYA;63594000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
RISARALDA;PEREIRA (CT);66001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
SAN ANDRÉS;PROVIDENCIA;88564000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
SUCRE;COROZAL;70215000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
SUCRE;SAN ONOFRE;70713000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
SUCRE;SINCELEJO (CT);70001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;FEMENINO;ADULTOS;1
VALLE;CALI (CT);76001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
VALLE;CARTAGO;76147000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
VALLE;ZARZAL;76895000;ARMA BLANCA / CORTOPUNZANTE;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;BELLO;5088000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;2
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;TURBO;5837000;ARMA DE FUEGO;1/01/2013;FEMENINO;ADULTOS;1
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;3
ATLÁNTICO;MALAMBO;8433000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
BOLÍVAR;MAGANGUÉ;13430000;ARMA DE FUEGO;1/01/2013;FEMENINO;ADULTOS;1
CESAR;AGUSTÍN CODAZZI;20013000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
CESAR;VALLEDUPAR (CT);20001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;3
HUILA;NEIVA (CT);41001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;2
META;VILLAVICENCIO (CT);50001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
NORTE DE SANTANDER;CÚCUTA (CT);54001000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;ARMA DE FUEGO;1/01/2013;FEMENINO;ADULTOS;1
VALLE;JAMUNDÍ;76364000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
VALLE;YUMBO;76892000;ARMA DE FUEGO;1/01/2013;FEMENINO;ADULTOS;1
VALLE;YUMBO;76892000;ARMA DE FUEGO;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
ARAUCA;FORTUL;81300000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
BOYACÁ;TUNJA (CT);15001000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;2
CUNDINAMARCA;PUERTO SALGAR;25572000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
HUILA;NEIVA (CT);41001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;2
NARIÑO;PASTO (CT);52001000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
NARIÑO;PASTO (CT);52001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;2
NARIÑO;TAMINANGO;52786000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
NORTE DE SANTANDER;CÚCUTA (CT);54001000;CONTUNDENTES;1/01/2013;FEMENINO;ADULTOS;1
RISARALDA;PEREIRA (CT);66001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
SANTANDER;BUCARAMANGA (CT);68001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
SANTANDER;GIRÓN;68307000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
SUCRE;SAN LUIS DE SINCÉ;70742000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
TOLIMA;IBAGUÉ (CT);73001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
TOLIMA;MELGAR;73449000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;CONTUNDENTES;1/01/2013;MASCULINO;ADULTOS;1
NARIÑO;PASTO (CT);52001000;CORTANTES;1/01/2013;MASCULINO;ADULTOS;1
SUCRE;SINCELEJO (CT);70001000;ESCOPOLAMINA;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;APARTADÓ;5045000;NO REPORTADO;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;NO REPORTADO;1/01/2013;FEMENINO;ADULTOS;1
ATLÁNTICO;BARRANQUILLA (CT);8001000;NO REPORTADO;1/01/2013;MASCULINO;ADULTOS;1
CÓRDOBA;SAHAGÚN;23660000;NO REPORTADO;1/01/2013;FEMENINO;ADULTOS;1
CUNDINAMARCA;TOCANCIPÁ;25817000;NO REPORTADO;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;ENVIGADO;5266000;SIN EMPLEO DE ARMAS;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;SIN EMPLEO DE ARMAS;1/01/2013;FEMENINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;SIN EMPLEO DE ARMAS;1/01/2013;MASCULINO;ADULTOS;1
ANTIOQUIA;PUERTO BERRÍO;5579000;SIN EMPLEO DE ARMAS;1/01/2013;FEMENINO;ADULTOS;1
ATLÁNTICO;BARRANQUILLA (CT);8001000;SIN EMPLEO DE ARMAS;1/01/2013;FEMENINO;ADULTOS;4
