DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;AGRUPA EDAD PERSONA;CANTIDAD
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
BOYACÁ;DUITAMA;15238000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
BOYACÁ;TUNJA (CT);15001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
CALDAS;CHINCHINÁ;17174000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
CALDAS;MANIZALES (CT);17001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADOLESCENTES;1
CAUCA;POPAYÁN (CT);19001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;7
HUILA;NEIVA (CT);41001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;FEMENINO;ADULTOS;1
HUILA;NEIVA (CT);41001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
META;VILLAVICENCIO (CT);50001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;4
NARIÑO;PASTO (CT);52001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
NORTE DE SANTANDER;OCAÑA;54498000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
QUINDÍO;ARMENIA (CT);63001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;FEMENINO;ADULTOS;1
QUINDÍO;MONTENEGRO;63470000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;FEMENINO;ADULTOS;1
SANTANDER;BUCARAMANGA (CT);68001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;2
SANTANDER;GIRÓN;68307000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
SUCRE;SINCELEJO (CT);70001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;FEMENINO;ADULTOS;1
TOLIMA;IBAGUÉ (CT);73001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADOLESCENTES;1
TOLIMA;PURIFICACIÓN;73585000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
VALLE;SEVILLA;76736000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
VALLE;TULUÁ;76834000;ARMA BLANCA / CORTOPUNZANTE;1/01/2012;MASCULINO;ADULTOS;1
ANTIOQUIA;BARBOSA;5079000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;3
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
ATLÁNTICO;SOLEDAD;8758000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA DE FUEGO;1/01/2012;FEMENINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
CAUCA;SANTANDER DE QUILICHAO;19698000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
CESAR;AGUSTÍN CODAZZI;20013000;ARMA DE FUEGO;1/01/2012;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA DE FUEGO;1/01/2012;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;2
QUINDÍO;ARMENIA (CT);63001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
SANTANDER;BUCARAMANGA (CT);68001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
SANTANDER;LEBRIJA;68406000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;ARMA DE FUEGO;1/01/2012;MASCULINO;ADULTOS;1
VALLE;YUMBO;76892000;ARMA DE FUEGO;1/01/2012;FEMENINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;2
ATLÁNTICO;PUERTO COLOMBIA;8573000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
ATLÁNTICO;SABANALARGA;8638000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;CONTUNDENTES;1/01/2012;FEMENINO;ADULTOS;1
CÓRDOBA;MONTERÍA (CT);23001000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;4
HUILA;LA ARGENTINA;41378000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
META;PUERTO LÓPEZ;50573000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
QUINDÍO;ARMENIA (CT);63001000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
RISARALDA;SANTA ROSA DE CABAL;66682000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
SANTANDER;CIMITARRA;68190000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
SANTANDER;GIRÓN;68307000;CONTUNDENTES;1/01/2012;FEMENINO;ADULTOS;1
TOLIMA;ESPINAL;73268000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
TOLIMA;PIEDRAS;73547000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
VALLE;EL CERRITO;76248000;CONTUNDENTES;1/01/2012;MASCULINO;ADULTOS;1
CALDAS;MANIZALES (CT);17001000;CORTANTES;1/01/2012;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;CORTANTES;1/01/2012;FEMENINO;ADULTOS;1
VALLE;CALI (CT);76001000;CORTANTES;1/01/2012;MASCULINO;ADULTOS;2
