DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;AGRUPA EDAD PERSONA;CANTIDAD
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2016;MASCULINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA BLANCA / CORTOPUNZANTE;3/08/2016;FEMENINO;ADULTOS;1
BOLÍVAR;CARTAGENA (CT);13001000;ARMA BLANCA / CORTOPUNZANTE;7/10/2016;MASCULINO;ADULTOS;1
CAUCA;CALOTO;19142000;ARMA BLANCA / CORTOPUNZANTE;5/12/2016;FEMENINO;ADOLESCENTES;1
CAUCA;SANTANDER DE QUILICHAO;19698000;ARMA BLANCA / CORTOPUNZANTE;24/12/2016;MASCULINO;ADOLESCENTES;1
CHOCÓ;ISTMINA;27361000;ARMA BLANCA / CORTOPUNZANTE;24/12/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;24/02/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;6/03/2016;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;15/03/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;15/06/2016;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;8/09/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;16/09/2016;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;17/10/2016;FEMENINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;18/11/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;22/11/2016;MASCULINO;ADULTOS;2
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;4/12/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;6/12/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;SOACHA;25754000;ARMA BLANCA / CORTOPUNZANTE;4/01/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;SOACHA;25754000;ARMA BLANCA / CORTOPUNZANTE;26/01/2016;MASCULINO;ADULTOS;1
CUNDINAMARCA;SOACHA;25754000;ARMA BLANCA / CORTOPUNZANTE;1/11/2016;MASCULINO;ADULTOS;1
